chain,parameter,method,estimate,batch_means_se,n_regression_rows
1,omega_1,MC,0.1369077500448427,0.0024031607553722557,3500
1,omega_1,ZV naive OLS,0.13778949350478795,0.0005830058704827043,3500
1,omega_1,ZV split chain,0.13865116223022275,0.0009467154662561437,1750
1,omega_1,ZV thinned OLS,0.13749124088415995,0.000405427079333969,438
1,omega_1,ZV block OLS,0.13814946753885265,0.0005056696444637667,43
1,omega_2,MC,0.2576043181487436,0.003194881071742971,3500
1,omega_2,ZV naive OLS,0.2510098876918508,0.0009547062834770221,3500
1,omega_2,ZV split chain,0.25113626111478143,0.0009566221306309673,1750
1,omega_2,ZV thinned OLS,0.2513491801122825,0.0006350019562648502,438
1,omega_2,ZV block OLS,0.2500720540926339,0.0005682333097219572,43
1,omega_3,MC,0.5552615597998757,0.004034401687414183,3500
1,omega_3,ZV naive OLS,0.557336747077184,0.001001277961898705,3500
1,omega_3,ZV split chain,0.555751830830107,0.0017854392412320196,1750
1,omega_3,ZV thinned OLS,0.5576416831923932,0.0006735843435216207,438
1,omega_3,ZV block OLS,0.5571157598973955,0.0010325364151616667,43
2,omega_1,MC,0.14014859183569042,0.003085002176208296,3500
2,omega_1,ZV naive OLS,0.13990769985287177,0.00047893219645481433,3500
2,omega_1,ZV split chain,0.1408400012877892,0.0006903919374613617,1750
2,omega_1,ZV thinned OLS,0.13997897502427453,0.0008106898335696302,438
2,omega_1,ZV block OLS,0.13994179655049585,0.0005350841479338886,43
2,omega_2,MC,0.2459225905766609,0.002792692773550637,3500
2,omega_2,ZV naive OLS,0.24786847901431347,0.0009563905337985658,3500
2,omega_2,ZV split chain,0.24720490455328095,0.001171159818618412,1750
2,omega_2,ZV thinned OLS,0.24796232730856674,0.0009717440448381892,438
2,omega_2,ZV block OLS,0.24788637485057458,0.0009923766363675243,43
2,omega_3,MC,0.5556778098563662,0.0055087596386230835,3500
2,omega_3,ZV naive OLS,0.5553710849223622,0.0008951905078449996,3500
2,omega_3,ZV split chain,0.5547050275747282,0.0014005298883576708,1750
2,omega_3,ZV thinned OLS,0.5551501627177552,0.0012013862398872908,438
2,omega_3,ZV block OLS,0.5554209215337966,0.00029088066663287627,43
3,omega_1,MC,0.13924672029536392,0.0023732722551039957,3500
3,omega_1,ZV naive OLS,0.13962221482199624,0.0006786878068089737,3500
3,omega_1,ZV split chain,0.13889622303546398,0.0009697530049982775,1750
3,omega_1,ZV thinned OLS,0.1395554926898945,0.0005877980522808568,438
3,omega_1,ZV block OLS,0.13984953534752084,0.0007062596906110012,43
3,omega_2,MC,0.25005509610507337,0.0024177908761286995,3500
3,omega_2,ZV naive OLS,0.2493324638829902,0.0010103806701873687,3500
3,omega_2,ZV split chain,0.2503351955673952,0.0017436237369370465,1750
3,omega_2,ZV thinned OLS,0.24976694278619505,0.0013517771771561335,438
3,omega_2,ZV block OLS,0.2490663449318437,0.0012889843776066692,43
3,omega_3,MC,0.5552427044246986,0.004388886522402724,3500
3,omega_3,ZV naive OLS,0.5550309088574717,0.0009859246409677723,3500
3,omega_3,ZV split chain,0.5551045599593786,0.0014588659159685804,1750
3,omega_3,ZV thinned OLS,0.5548281346386141,0.0008217015441645452,438
3,omega_3,ZV block OLS,0.5548233845304091,0.0011185102257766975,43
4,omega_1,MC,0.13681566668750278,0.002109439190696087,3500
4,omega_1,ZV naive OLS,0.13852608766052207,0.0008076873327018101,3500
