parameter,method,mean_estimate,variance_across_chains,sd_across_chains,mean_batch_means_se,mean_regression_rows,mc_variance,variance_ratio_vs_mc
omega_1,MC,0.14005541966305118,7.31841542406154e-06,0.0027052569977844138,0.0025016945920558965,3500.0,7.31841542406154e-06,1.0
omega_1,ZV block OLS,0.13963903827649987,7.625072602275212e-07,0.0008732166170129387,0.0005671474892056311,43.0,7.31841542406154e-06,9.597830480824314
omega_1,ZV naive OLS,0.1395663396348623,9.502574052808845e-07,0.000974811471660487,0.0006509174639753859,3500.0,7.31841542406154e-06,7.701508436967461
omega_1,ZV split chain,0.13981471052716174,2.015419799086525e-06,0.0014196548168785696,0.0011291839113991408,1750.0,7.31841542406154e-06,3.631211436633976
omega_1,ZV thinned OLS,0.13956356217347593,9.783073666396552e-07,0.0009890942152493134,0.0006570560492603719,438.0,7.31841542406154e-06,7.480691318107152
omega_2,MC,0.2507951767200198,1.639321879592876e-05,0.004048854010201993,0.002950374088580903,3500.0,1.639321879592876e-05,1.0
omega_2,ZV block OLS,0.24915159720313262,1.7496622899366383e-06,0.0013227480069675547,0.000778462290105995,43.0,1.639321879592876e-05,9.36936167065841
omega_2,ZV naive OLS,0.24940398728349908,2.279641200141372e-06,0.0015098480718739127,0.0010011867721671692,3500.0,1.639321879592876e-05,7.191139901714416
omega_2,ZV split chain,0.25012088984507697,2.639137009160335e-06,0.001624542092147918,0.001594540649586882,1750.0,1.639321879592876e-05,6.211583081525733
omega_2,ZV thinned OLS,0.2493859852907096,2.4997564759062456e-06,0.0015810618191286025,0.0010075764497381268,438.0,1.639321879592876e-05,6.5579263235974485
omega_3,MC,0.5536595129552133,1.8753800353547354e-05,0.0043305658237171914,0.004499698550101865,3500.0,1.8753800353547354e-05,1.0
omega_3,ZV block OLS,0.5549694504994549,2.3173999514307255e-06,0.0015223008741476586,0.0009172814368775459,43.0,1.8753800353547354e-05,8.092604102269467
omega_3,ZV naive OLS,0.5549798233303042,2.665534247231007e-06,0.0016326463938131266,0.0011088525164889937,3500.0,1.8753800353547354e-05,7.0356628780999735
omega_3,ZV split chain,0.554213552217168,5.8389723339950425e-06,0.0024163965597548435,0.0018298599668274827,1750.0,1.8753800353547354e-05,3.2118323706315537
omega_3,ZV thinned OLS,0.5549233194991978,2.4377968974481785e-06,0.0015613445799848855,0.001092834647654425,438.0,1.8753800353547354e-05,7.692929781467167
