dataset,parameter,method,empirical_variance,variance_reduction
eurusd,omega_1,MC,5.9593904049411135e-05,1.0
eurusd,omega_1,ZV-OLS-1,5.953230190281594e-05,1.0010347684303516
eurusd,omega_2,MC,1.0609394696663934e-05,1.0
eurusd,omega_2,ZV-OLS-1,3.0043832037295145e-06,3.5313054218562665
eurusd,omega_3,MC,0.0017680725079166498,1.0
eurusd,omega_3,ZV-OLS-1,0.0016708617747157185,1.0581799970960917
simulated,omega_1,MC,6.996417485924996e-06,1.0
simulated,omega_1,ZV-OLS-1,7.434865696000666e-07,9.410280927722049
simulated,omega_2,MC,5.164997691529956e-06,1.0
simulated,omega_2,ZV-OLS-1,5.196744738816698e-07,9.938909742767217
simulated,omega_3,MC,1.5229017695686975e-05,1.0
simulated,omega_3,ZV-OLS-1,4.691036965331603e-07,32.46407523162729
