dataset,acceptance_rate,rep,parameter,method,estimate,batch_se,selected_controls,condition_number
simulated,0.31375,1,omega_1,MC,0.1158453328920909,0.0067191120769345,0,
simulated,0.31375,1,omega_1,ZV-OLS-1,0.1087343120470576,0.0011034505868804,3,9.044538144564497
simulated,0.31375,1,omega_1,ZV-OLS-2,0.108034263547115,0.000602379244937,9,119.081382238861
simulated,0.31375,1,omega_1,ZV-OLS-5,0.1080485745195519,4.406187777052737e-06,55,794336.9686351902
simulated,0.31375,1,omega_1,ZV-Lasso-5,0.1082717876529372,4.352764805311729e-05,26,28409.52908078469
simulated,0.31375,1,omega_2,MC,0.1550224584651378,0.0031775592122379,0,
simulated,0.31375,1,omega_2,ZV-OLS-1,0.1580433300342091,0.0009126523236815,3,9.044538144564497
simulated,0.31375,1,omega_2,ZV-OLS-2,0.1591393408397859,0.0002521388474136,9,119.081382238861
simulated,0.31375,1,omega_2,ZV-OLS-5,0.1594976142715962,1.1636909672424904e-06,55,794336.9686351902
simulated,0.31375,1,omega_2,ZV-Lasso-5,0.1594320192939066,4.747397750913168e-05,17,6173.189275111312
simulated,0.31375,1,omega_3,MC,0.7293376271340641,0.0082141142264527,0,
simulated,0.31375,1,omega_3,ZV-OLS-1,0.7346730089494885,0.0008916217337111,3,9.044538144564497
simulated,0.31375,1,omega_3,ZV-OLS-2,0.7351193497949815,0.0005827946073455,9,119.081382238861
simulated,0.31375,1,omega_3,ZV-OLS-5,0.7349216483416716,4.225009368559745e-06,55,794336.9686351902
simulated,0.31375,1,omega_3,ZV-Lasso-5,0.7351915831395356,0.0001268414887234,20,8319.550468673164
simulated,0.33175,2,omega_1,MC,0.0982915751367702,0.0052502206463823,0,
simulated,0.33175,2,omega_1,ZV-OLS-1,0.1066372438305143,0.0013274905956634,3,9.39376384266485
simulated,0.33175,2,omega_1,ZV-OLS-2,0.1080367561976134,0.0003779770646943,9,160.87384123733122
simulated,0.33175,2,omega_1,ZV-OLS-5,0.1080671145759788,1.3484845243208134e-06,55,1066263.614479201
simulated,0.33175,2,omega_1,ZV-Lasso-5,0.1077110127792353,7.611147485667651e-05,25,249253.3984836402
simulated,0.33175,2,omega_2,MC,0.1571881268836097,0.005195777640971,0,
simulated,0.33175,2,omega_2,ZV-OLS-1,0.1607937773763284,0.0012395243067273,3,9.39376384266485
simulated,0.33175,2,omega_2,ZV-OLS-2,0.1595270127450723,0.0002783764080752,9,160.87384123733122
simulated,0.33175,2,omega_2,ZV-OLS-5,0.1594921487888639,1.9765346229118666e-06,55,1066263.614479201
simulated,0.33175,2,omega_2,ZV-Lasso-5,0.1593997737139471,6.327636087566698e-05,20,14896.658283424416
simulated,0.33175,2,omega_3,MC,0.7476428520480911,0.0075172502410068,0,
simulated,0.33175,2,omega_3,ZV-OLS-1,0.7357324187124078,0.0010854353271311,3,9.39376384266485
simulated,0.33175,2,omega_3,ZV-OLS-2,0.7348562197271202,0.0003381096910415,9,160.87384123733122
simulated,0.33175,2,omega_3,ZV-OLS-5,0.7349065543063387,1.9218931666799944e-06,55,1066263.614479201
simulated,0.33175,2,omega_3,ZV-Lasso-5,0.7354548686775434,0.000135866934677,20,221854.5012680418
simulated,0.31625,3,omega_1,MC,0.1180368064319836,0.007563687781972,0,
simulated,0.31625,3,omega_1,ZV-OLS-1,0.1095231358254885,0.0013420294415666,3,7.903256244523992
simulated,0.31625,3,omega_1,ZV-OLS-2,0.1078394490707718,0.0006547527946267,9,93.22656983283044
simulated,0.31625,3,omega_1,ZV-OLS-5,0.1080562480533029,7.258783540678433e-06,55,878663.2734391066
simulated,0.31625,3,omega_1,ZV-Lasso-5,0.107826072211177,0.0001441891156961,25,16503.23280917631
simulated,0.31625,3,omega_2,MC,0.1588981493608371,0.0052326528278153,0,
simulated,0.31625,3,omega_2,ZV-OLS-1,0.1582726891122038,0.0010340753863988,3,7.903256244523992
simulated,0.31625,3,omega_2,ZV-OLS-2,0.1596291219307645,0.0002100887593147,9,93.22656983283044
simulated,0.31625,3,omega_2,ZV-OLS-5,0.1594973259922583,1.797647024151695e-06,55,878663.2734391066
simulated,0.31625,3,omega_2,ZV-Lasso-5,0.1594614823762221,2.895550544386491e-05,22,11912.1923754738
simulated,0.31625,3,omega_3,MC,0.7238265434229001,0.0095341569080681,0,
simulated,0.31625,3,omega_3,ZV-OLS-1,0.7342792053124433,0.0010378846572659,3,7.903256244523992
simulated,0.31625,3,omega_3,ZV-OLS-2,0.7350255612080521,0.0006250130722726,9,93.22656983283044
simulated,0.31625,3,omega_3,ZV-OLS-5,0.7349106663009142,7.887144038870679e-06,55,878663.2734391066
simulated,0.31625,3,omega_3,ZV-Lasso-5,0.7349956191787599,0.000252871339503,18,3135.6138561819685
simulated,0.3205,4,omega_1,MC,0.1106058027256065,0.0053573876339432,0,
simulated,0.3205,4,omega_1,ZV-OLS-1,0.1078833321950753,0.0009584287248599,3,9.462366702468069
simulated,0.3205,4,omega_1,ZV-OLS-2,0.1088131691334393,0.00022469712253,9,149.4212265668913
simulated,0.3205,4,omega_1,ZV-OLS-5,0.1080241654970508,2.259319517515085e-06,55,807530.9039173248
simulated,0.3205,4,omega_1,ZV-Lasso-5,0.1075597117544066,3.906053678742581e-05,27,105169.82163651162
simulated,0.3205,4,omega_2,MC,0.1620824542204219,0.003074403249323,0,
simulated,0.3205,4,omega_2,ZV-OLS-1,0.1594021985341478,0.0008436726961044,3,9.462366702468069
simulated,0.3205,4,omega_2,ZV-OLS-2,0.1588055715534167,0.000147887966351,9,149.4212265668913
simulated,0.3205,4,omega_2,ZV-OLS-5,0.1594997921309367,5.774593839916123e-07,55,807530.9039173248
simulated,0.3205,4,omega_2,ZV-Lasso-5,0.1599224854501255,6.724179169152062e-05,19,9141.513540936496
simulated,0.3205,4,omega_3,MC,0.7298278249205937,0.0064865562255895,0,
simulated,0.3205,4,omega_3,ZV-OLS-1,0.7346637116759532,0.0006870944774006,3,9.462366702468069
simulated,0.3205,4,omega_3,ZV-OLS-2,0.7344383008260138,0.0001983379903616,9,149.4212265668913
simulated,0.3205,4,omega_3,ZV-OLS-5,0.7349469537192826,2.5978827781874447e-06,55,807530.9039173248
simulated,0.3205,4,omega_3,ZV-Lasso-5,0.7345821858901814,7.826493550758357e-05,18,5329.072194986746
simulated,0.32775,5,omega_1,MC,0.1041581756819299,0.0046331882258309,0,
simulated,0.32775,5,omega_1,ZV-OLS-1,0.1056646994258635,0.0010816164075795,3,10.539368086478088
simulated,0.32775,5,omega_1,ZV-OLS-2,0.1077612228996865,0.0002545279711092,9,199.84571766723357
simulated,0.32775,5,omega_1,ZV-OLS-5,0.1080415665297312,9.60879435473813e-07,55,994321.0423920228
simulated,0.32775,5,omega_1,ZV-Lasso-5,0.1076856677746016,2.701636657260005e-05,26,272119.0211305195
simulated,0.32775,5,omega_2,MC,0.1635369011841387,0.0040229394537633,0,
simulated,0.32775,5,omega_2,ZV-OLS-1,0.1608126517980426,0.0013148057043212,3,10.539368086478088
simulated,0.32775,5,omega_2,ZV-OLS-2,0.1592900722407135,0.0002236672617396,9,199.84571766723357
simulated,0.32775,5,omega_2,ZV-OLS-5,0.1595043270509316,9.613493888971758e-07,55,994321.0423920228
simulated,0.32775,5,omega_2,ZV-Lasso-5,0.1595645624034173,3.342708285838276e-05,17,6279.324236321082
simulated,0.32775,5,omega_3,MC,0.737282303041375,0.0045021706932923,0,
simulated,0.32775,5,omega_3,ZV-OLS-1,0.7365219550809817,0.0007299412164175,3,10.539368086478088
simulated,0.32775,5,omega_3,ZV-OLS-2,0.7352214420756499,0.0002058971965078,9,199.84571766723357
simulated,0.32775,5,omega_3,ZV-OLS-5,0.7349225532362459,8.844472245586786e-07,55,994321.0423920228
simulated,0.32775,5,omega_3,ZV-Lasso-5,0.7351793659509038,0.0001233175891048,18,93363.89840009928
simulated,0.318,6,omega_1,MC,0.1214974342431213,0.0063588062652538,0,
simulated,0.318,6,omega_1,ZV-OLS-1,0.1090490080578205,0.0008577505348501,3,9.397330367491906
simulated,0.318,6,omega_1,ZV-OLS-2,0.1091286444966984,0.0002661625668825,9,125.6364839278148
simulated,0.318,6,omega_1,ZV-OLS-5,0.107922572291018,3.230754028138756e-06,55,857238.2066043686
