dataset,parameter,method,mean_estimate,numerical_sd,mean_batch_se,mean_selected,median_condition,mean_acceptance,mc_sd,variance_reduction,reference,rmse_to_reference
eurusd,omega_1,MC,0.08636918174932716,0.018716932895673288,0.00750598349728686,0.0,,0.32045,0.018716932895673288,1.0,0.08636918174932716,0.017756441628857488
eurusd,omega_1,ZV-Lasso-5,0.07830871024703091,0.01594676720016638,0.00021086587056527514,36.8,114663.9622357095,0.32045,0.018716932895673288,1.3776029313282427,0.08636918174932716,0.017141780729025852
eurusd,omega_1,ZV-OLS-1,0.08525584439086296,0.017272486230488524,0.00673433797310755,3.0,10.210709217866178,0.32045,0.018716932895673288,1.174247532745279,0.08636918174932716,0.016423897911212373
eurusd,omega_1,ZV-OLS-2,0.07702593768346214,0.006234016488064611,0.0028297949803877303,9.0,156.0992451637614,0.32045,0.018716932895673288,9.014330427672922,0.08636918174932716,0.011057706592708869
eurusd,omega_1,ZV-OLS-5,0.07730241591697484,0.021970143400333573,0.00013849252724775803,55.0,26178565.3886988,0.32045,0.018716932895673288,0.7257776387538344,0.08636918174932716,0.022729380184835883
eurusd,omega_2,MC,0.08557230319262468,0.011270244775792646,0.00592059672183855,0.0,,0.32045,0.011270244775792646,1.0,0.08557230319262468,0.010691892983735539
eurusd,omega_2,ZV-Lasso-5,0.09097140063249473,0.004725167500980866,0.00016081347189476992,26.6,34913.78513972241,0.32045,0.011270244775792646,5.688952143279893,0.08557230319262468,0.0070174596747188
eurusd,omega_2,ZV-OLS-1,0.09049653535902297,0.005141389577488426,0.0026522882190928,3.0,10.210709217866178,0.32045,0.011270244775792646,4.80513585941186,0.08557230319262468,0.006930985538676841
eurusd,omega_2,ZV-OLS-2,0.08941116525694084,0.004489973792767714,0.0008633555985842201,9.0,156.0992451637614,0.32045,0.011270244775792646,6.300559029046278,0.08557230319262468,0.005734173012964694
eurusd,omega_2,ZV-OLS-5,0.0894987949524312,0.005810385627206816,5.213696305375276e-05,55.0,26178565.3886988,0.32045,0.011270244775792646,3.762329113690338,0.08557230319262468,0.0067677071865584445
eurusd,omega_3,MC,0.46235787170269227,0.09370964760570015,0.03970766269989403,0.0,,0.32045,0.09370964760570015,1.0,0.46235787170269227,0.08890077754972704
eurusd,omega_3,ZV-Lasso-5,0.5016981239743219,0.09920569879032608,0.00097876479364046,38.1,250554.2353576501,0.32045,0.09370964760570015,0.8922681036393668,0.46235787170269227,0.10200612263008861
eurusd,omega_3,ZV-OLS-1,0.46386345986919253,0.09181270923311652,0.03630641780025924,3.0,10.210709217866178,0.32045,0.09370964760570015,1.0417487877004141,0.46235787170269227,0.0871141952541572
eurusd,omega_3,ZV-OLS-2,0.5087272948446535,0.03185730177819196,0.014325635819729978,9.0,156.0992451637614,0.32045,0.09370964760570015,8.652679756559754,0.46235787170269227,0.05534909494694893
eurusd,omega_3,ZV-OLS-5,0.5071680660626816,0.10913593667753338,0.0006807102865570401,55.0,26178565.3886988,0.32045,0.09370964760570015,0.7372810117448908,0.46235787170269227,0.11281640361939542
simulated,omega_1,MC,0.11172701188488468,0.006645606554073373,0.00618530398684047,0.0,,0.320625,0.006645606554073373,1.0,0.04,0.07200355485501238
simulated,omega_1,ZV-Lasso-5,0.10788805719665115,0.00035807103710051885,5.481092980839296e-05,25.1,57756.28833692345,0.320625,0.006645606554073373,344.453707239295,0.04,0.0678889070711602
simulated,omega_1,ZV-OLS-1,0.1082011141084108,0.0012618905430054413,0.0011438047839134,3.0,9.395547105078379,0.320625,0.006645606554073373,27.734853760268336,0.04,0.06821161995288447
simulated,omega_1,ZV-OLS-2,0.10842232224765028,0.0005970001232985186,0.00037668151722964,9.0,131.67898355412535,0.320625,0.006645606554073373,123.91400954834191,0.04,0.06842466623954986
simulated,omega_1,ZV-OLS-5,0.10801858477103772,4.831214912559577e-05,3.237611845146701e-06,55.0,867950.7400217376,0.320625,0.006645606554073373,18921.542486680824,0.04,0.06801860021282577
simulated,omega_2,MC,0.15908139448353992,0.00367032087863696,0.00380318923619011,0.0,,0.320625,0.00367032087863696,1.0,0.08,0.07915801338637929
simulated,omega_2,ZV-Lasso-5,0.1594932154608219,0.00017117213390410263,5.322229319028051e-05,17.7,6915.51814969839,0.320625,0.00367032087863696,459.77138544487656,0.08,0.07949338132329091
simulated,omega_2,ZV-OLS-1,0.1587567980346165,0.0012348585551943338,0.0010087964646299098,3.0,9.395547105078379,0.320625,0.00367032087863696,8.83433041923785,0.08,0.0787655103757449
