dataset,parameter,method,empirical_variance,variance_reduction
eurusd,omega_1,MC,5.959390404941112e-05,1.0
eurusd,omega_1,ZV-OLS-1,5.953230190281614e-05,1.001034768430348
eurusd,omega_2,MC,1.0609394696664027e-05,1.0
eurusd,omega_2,ZV-OLS-1,3.0043832037295115e-06,3.5313054218563007
eurusd,omega_3,MC,0.0017680725079166509,1.0
eurusd,omega_3,ZV-OLS-1,0.001670861774715719,1.0581799970960921
simulated,omega_1,MC,6.996417485924962e-06,1.0
simulated,omega_1,ZV-OLS-1,7.434865696000612e-07,9.41028092772207
simulated,omega_2,MC,5.164997691529893e-06,1.0
simulated,omega_2,ZV-OLS-1,5.196744738816974e-07,9.93890974276657
simulated,omega_3,MC,1.5229017695686975e-05,1.0
simulated,omega_3,ZV-OLS-1,4.691036965331603e-07,32.46407523162729
