chain,parameter,series,lag1_acf
1,omega_1,raw chain,0.8573781289684788
1,omega_1,thinned every 8,0.279413224337093
1,omega_1,block means size 80,-0.019536095012171014
1,omega_2,raw chain,0.8352353443331012
1,omega_2,thinned every 8,0.22770845812482607
1,omega_2,block means size 80,-0.01710722239771576
1,omega_3,raw chain,0.8306733781567428
1,omega_3,thinned every 8,0.21650721620801838
1,omega_3,block means size 80,-0.0001398172893885887
2,omega_1,raw chain,0.8703923263162352
2,omega_1,thinned every 8,0.37665628240415144
2,omega_1,block means size 80,0.06819728120641846
2,omega_2,raw chain,0.8160826896702076
2,omega_2,thinned every 8,0.24566876556213307
2,omega_2,block means size 80,0.027791063764782634
2,omega_3,raw chain,0.8513452497825555
2,omega_3,thinned every 8,0.34318144842618775
2,omega_3,block means size 80,0.14816757431690028
3,omega_1,raw chain,0.8592098358383667
3,omega_1,thinned every 8,0.3293953899352973
3,omega_1,block means size 80,-0.09288693049528468
3,omega_2,raw chain,0.8292261745178204
3,omega_2,thinned every 8,0.2570025288373571
3,omega_2,block means size 80,-0.10614112369801897
3,omega_3,raw chain,0.8437523540740605
3,omega_3,thinned every 8,0.33121876761306057
3,omega_3,block means size 80,-0.11929830511955572
4,omega_1,raw chain,0.8494473871272499
4,omega_1,thinned every 8,0.2665297168273438
4,omega_1,block means size 80,-0.29123595557408344
4,omega_2,raw chain,0.837532274615756
4,omega_2,thinned every 8,0.31000937919270516
4,omega_2,block means size 80,0.04374746302675295
4,omega_3,raw chain,0.840956300296812
4,omega_3,thinned every 8,0.279645700271376
4,omega_3,block means size 80,-0.18752929560530263
5,omega_1,raw chain,0.8611155171758316
5,omega_1,thinned every 8,0.2656662522555154
5,omega_1,block means size 80,-0.0142745041263224
5,omega_2,raw chain,0.817107285547645
5,omega_2,thinned every 8,0.17129014429751221
5,omega_2,block means size 80,0.22455797043585193
5,omega_3,raw chain,0.8404811031063757
5,omega_3,thinned every 8,0.2188464451464579
5,omega_3,block means size 80,0.09754378207512805
6,omega_1,raw chain,0.8640130439176896
6,omega_1,thinned every 8,0.29214461049976903
6,omega_1,block means size 80,-0.03734940027675345
6,omega_2,raw chain,0.8263218875677437
6,omega_2,thinned every 8,0.2718194389098868
6,omega_2,block means size 80,-0.05284144525425297
6,omega_3,raw chain,0.8589955788367392
6,omega_3,thinned every 8,0.33028470074902233
6,omega_3,block means size 80,-0.13757512447403641
7,omega_1,raw chain,0.8900990782084748
7,omega_1,thinned every 8,0.38539204624696344
7,omega_1,block means size 80,0.25749691291293336
7,omega_2,raw chain,0.8202861240529324
7,omega_2,thinned every 8,0.1510797101361937
7,omega_2,block means size 80,0.06488040039699032
7,omega_3,raw chain,0.8665995510723379
7,omega_3,thinned every 8,0.3314545984788829
7,omega_3,block means size 80,0.2588373211137118
8,omega_1,raw chain,0.8589444952564252
8,omega_1,thinned every 8,0.28319053021358465
8,omega_1,block means size 80,0.03153738521005401
8,omega_2,raw chain,0.825047574227056
8,omega_2,thinned every 8,0.2520302956652887
8,omega_2,block means size 80,-0.0572538368237218
8,omega_3,raw chain,0.8507957923100669
8,omega_3,thinned every 8,0.26815337318471044
8,omega_3,block means size 80,0.053159043269202344
9,omega_1,raw chain,0.8576670606484892
9,omega_1,thinned every 8,0.2888737582777212
9,omega_1,block means size 80,-0.22783111408236684
9,omega_2,raw chain,0.807635531339166
9,omega_2,thinned every 8,0.21008354382979413
9,omega_2,block means size 80,0.029976208115755496
9,omega_3,raw chain,0.8346309246657259
9,omega_3,thinned every 8,0.2525836138812485
9,omega_3,block means size 80,-0.24601489110837757
10,omega_1,raw chain,0.8325043711591122
10,omega_1,thinned every 8,0.2227848775094508
10,omega_1,block means size 80,0.11205643226585621
10,omega_2,raw chain,0.8153681194246887
10,omega_2,thinned every 8,0.19509618710246754
10,omega_2,block means size 80,-0.01542636280556607
10,omega_3,raw chain,0.7879294169804603
10,omega_3,thinned every 8,0.10977014754649837
10,omega_3,block means size 80,0.18185678649666642
