chain,parameter,method,estimate,batch_means_se,n_regression_rows
1,omega_1,MC,0.13690775004484274,0.0024031607553722557,3500
1,omega_1,ZV naive OLS,0.13778949350478795,0.0005830058704827066,3500
1,omega_1,ZV split chain,0.1386511622302228,0.0009467154662561493,1750
1,omega_1,ZV thinned OLS,0.13749124088415998,0.00040542707933397616,438
1,omega_1,ZV block OLS,0.1381494675388527,0.0005056696444637709,43
1,omega_2,MC,0.2576043181487446,0.0031948810717429862,3500
1,omega_2,ZV naive OLS,0.25100988769185084,0.0009547062834770094,3500
1,omega_2,ZV split chain,0.25113626111478143,0.000956622130630944,1750
1,omega_2,ZV thinned OLS,0.2513491801122826,0.0006350019562648243,438
1,omega_2,ZV block OLS,0.250072054092634,0.000568233309721968,43
1,omega_3,MC,0.5552615597998746,0.0040344016874141915,3500
1,omega_3,ZV naive OLS,0.5573367470771837,0.001001277961898719,3500
1,omega_3,ZV split chain,0.5557518308301069,0.0017854392412320495,1750
1,omega_3,ZV thinned OLS,0.5576416831923932,0.0006735843435216277,438
1,omega_3,ZV block OLS,0.5571157598973954,0.0010325364151617285,43
2,omega_1,MC,0.14014859183569015,0.003085002176208302,3500
2,omega_1,ZV naive OLS,0.13990769985287177,0.00047893219645482105,3500
2,omega_1,ZV split chain,0.14084000128778926,0.0006903919374613749,1750
2,omega_1,ZV thinned OLS,0.1399789750242745,0.0008106898335696368,438
2,omega_1,ZV block OLS,0.13994179655049588,0.0005350841479339048,43
2,omega_2,MC,0.24592259057666135,0.0027926927735506444,3500
2,omega_2,ZV naive OLS,0.24786847901431341,0.0009563905337985572,3500
2,omega_2,ZV split chain,0.24720490455328095,0.0011711598186184054,1750
2,omega_2,ZV thinned OLS,0.24796232730856668,0.0009717440448381842,438
2,omega_2,ZV block OLS,0.24788637485057427,0.000992376636367517,43
2,omega_3,MC,0.5556778098563655,0.005508759638623107,3500
2,omega_3,ZV naive OLS,0.5553710849223622,0.0008951905078450173,3500
2,omega_3,ZV split chain,0.5547050275747282,0.001400529888357694,1750
2,omega_3,ZV thinned OLS,0.5551501627177552,0.0012013862398873119,438
2,omega_3,ZV block OLS,0.555420921533797,0.0002908806666328974,43
3,omega_1,MC,0.13924672029536428,0.002373272255104007,3500
3,omega_1,ZV naive OLS,0.13962221482199624,0.0006786878068089763,3500
3,omega_1,ZV split chain,0.13889622303546395,0.0009697530049982792,1750
3,omega_1,ZV thinned OLS,0.1395554926898945,0.0005877980522808524,438
3,omega_1,ZV block OLS,0.1398495353475208,0.0007062596906110099,43
3,omega_2,MC,0.2500550961050736,0.0024177908761286986,3500
3,omega_2,ZV naive OLS,0.24933246388299016,0.0010103806701873724,3500
3,omega_2,ZV split chain,0.2503351955673952,0.001743623736937046,1750
3,omega_2,ZV thinned OLS,0.249766942786195,0.0013517771771561333,438
3,omega_2,ZV block OLS,0.24906634493184365,0.0012889843776066972,43
3,omega_3,MC,0.555242704424698,0.004388886522402718,3500
3,omega_3,ZV naive OLS,0.5550309088574719,0.0009859246409677717,3500
3,omega_3,ZV split chain,0.5551045599593785,0.0014588659159685776,1750
3,omega_3,ZV thinned OLS,0.5548281346386141,0.0008217015441645436,438
3,omega_3,ZV block OLS,0.5548233845304091,0.001118510225776764,43
4,omega_1,MC,0.13681566668750356,0.0021094391906961,3500
4,omega_1,ZV naive OLS,0.13852608766052207,0.0008076873327018115,3500
4,omega_1,ZV split chain,0.13783983652680132,0.0012213431859080812,1750
4,omega_1,ZV thinned OLS,0.13852103485503553,0.0007019953644165729,438
4,omega_1,ZV block OLS,0.13873872761642955,0.0005465133711220806,43
4,omega_2,MC,0.24871441102611164,0.003848250692904002,3500
4,omega_2,ZV naive OLS,0.2516275659185071,0.0014100140351392674,3500
4,omega_2,ZV split chain,0.25206047512665813,0.0024699418948506188,1750
