parameter,method,mean_estimate,variance_across_chains,sd_across_chains,mean_batch_means_se,mean_regression_rows,mc_variance,variance_ratio_vs_mc
omega_1,MC,0.14005541966305143,7.318415424059725e-06,0.0027052569977840785,0.0025016945920559026,3500.0,7.318415424059725e-06,1.0
omega_1,ZV block OLS,0.13963903827649987,7.62507260227486e-07,0.0008732166170129185,0.0005671474892056363,43.0,7.318415424059725e-06,9.597830480822376
omega_1,ZV naive OLS,0.1395663396348623,9.502574052808824e-07,0.000974811471660486,0.0006509174639753859,3500.0,7.318415424059725e-06,7.701508436965569
omega_1,ZV split chain,0.13981471052716174,2.015419799086519e-06,0.0014196548168785674,0.0011291839113991404,1750.0,7.318415424059725e-06,3.6312114366330865
omega_1,ZV thinned OLS,0.13956356217347593,9.78307366639619e-07,0.0009890942152492952,0.0006570560492603717,438.0,7.318415424059725e-06,7.480691318105575
omega_2,MC,0.25079517672002016,1.6393218795928868e-05,0.004048854010202006,0.0029503740885809065,3500.0,1.6393218795928868e-05,1.0
omega_2,ZV block OLS,0.24915159720313254,1.7496622899367082e-06,0.0013227480069675811,0.0007784622901060021,43.0,1.6393218795928868e-05,9.369361670658098
omega_2,ZV naive OLS,0.24940398728349908,2.279641200141283e-06,0.0015098480718738834,0.0010011867721671699,3500.0,1.6393218795928868e-05,7.191139901714744
omega_2,ZV split chain,0.25012088984507697,2.639137009160205e-06,0.0016245420921478782,0.0015945406495868862,1750.0,1.6393218795928868e-05,6.211583081526079
omega_2,ZV thinned OLS,0.2493859852907096,2.4997564759062757e-06,0.0015810618191286119,0.0010075764497381235,438.0,1.6393218795928868e-05,6.557926323597413
omega_3,MC,0.5536595129552128,1.875380035354788e-05,0.004330565823717252,0.004499698550101865,3500.0,1.875380035354788e-05,1.0
omega_3,ZV block OLS,0.554969450499455,2.3173999514305066e-06,0.0015223008741475866,0.000917281436877565,43.0,1.875380035354788e-05,8.092604102270458
omega_3,ZV naive OLS,0.5549798233303042,2.6655342472309143e-06,0.0016326463938130982,0.0011088525164889907,3500.0,1.875380035354788e-05,7.035662878100416
omega_3,ZV split chain,0.554213552217168,5.838972333994978e-06,0.00241639655975483,0.0018298599668274775,1750.0,1.875380035354788e-05,3.2118323706316794
omega_3,ZV thinned OLS,0.5549233194991978,2.4377968974481133e-06,0.0015613445799848647,0.0010928346476544231,438.0,1.875380035354788e-05,7.692929781467589
