dataset,acceptance_rate,rep,parameter,method,estimate,batch_se,selected_controls,condition_number
simulated,0.228,1,omega_1,MC,0.1114315303422848,0.0022224685859674,0,
simulated,0.228,1,omega_1,ZV-OLS-1,0.1093184682312326,0.0006224202200482,3,8.15811584093611
simulated,0.228,1,omega_1,ZV-OLS-2,0.1088937175955563,0.0003102955037271,9,100.51943417965693
simulated,0.228,1,omega_1,ZV-OLS-5,0.1080723112511411,1.0629422554293252e-05,55,548000.7004837398
simulated,0.228,1,omega_1,ZV-Lasso-5,0.1081233809492538,3.502365630671731e-05,31,18484.487818357
simulated,0.228,1,omega_2,MC,0.1606407919656061,0.0016382600940279,0,
simulated,0.228,1,omega_2,ZV-OLS-1,0.1587654274101877,0.0004734957106616,3,8.15811584093611
simulated,0.228,1,omega_2,ZV-OLS-2,0.1591219415342969,0.0001192378280202,9,100.51943417965693
simulated,0.228,1,omega_2,ZV-OLS-5,0.1595237523306149,2.0687114324452418e-06,55,548000.7004837398
simulated,0.228,1,omega_2,ZV-Lasso-5,0.1594879682384408,4.272667418885278e-05,18,4308.898651838699
simulated,0.228,1,omega_3,MC,0.7301833820793041,0.0027522799212232,0,
simulated,0.228,1,omega_3,ZV-OLS-1,0.7338055860405733,0.0007673161869412,3,8.15811584093611
simulated,0.228,1,omega_3,ZV-OLS-2,0.7340875563453608,0.0002978596397528,9,100.51943417965693
simulated,0.228,1,omega_3,ZV-OLS-5,0.7348918583992518,1.0906925664646636e-05,55,548000.7004837398
simulated,0.228,1,omega_3,ZV-Lasso-5,0.7346895714677933,0.0001055178736491,24,23037.33354911549
simulated,0.23625,2,omega_1,MC,0.1094677959704999,0.0028450046661139,0,
simulated,0.23625,2,omega_1,ZV-OLS-1,0.1079126963462415,0.0006619037360042,3,8.210195046610753
simulated,0.23625,2,omega_1,ZV-OLS-2,0.1084052191350704,0.0003000884082074,9,103.81172648766564
simulated,0.23625,2,omega_1,ZV-OLS-5,0.1080771837505937,8.435758041564454e-06,55,443003.9919096336
simulated,0.23625,2,omega_1,ZV-Lasso-5,0.1079206093420468,0.0001135634344904,24,76537.69938248134
simulated,0.23625,2,omega_2,MC,0.1614088271735252,0.0012430432757558,0,
simulated,0.23625,2,omega_2,ZV-OLS-1,0.1594118740761043,0.000706696116958,3,8.210195046610753
simulated,0.23625,2,omega_2,ZV-OLS-2,0.1592767804785493,0.0001655116957374,9,103.81172648766564
simulated,0.23625,2,omega_2,ZV-OLS-5,0.1594876673049487,3.178206640288991e-06,55,443003.9919096336
simulated,0.23625,2,omega_2,ZV-Lasso-5,0.1594118382221781,4.187330271746928e-05,18,4906.640483739892
simulated,0.23625,2,omega_3,MC,0.732652534343225,0.0034345260664488,0,
simulated,0.23625,2,omega_3,ZV-OLS-1,0.735287233620603,0.0005637354478549,3,8.210195046610753
simulated,0.23625,2,omega_3,ZV-OLS-2,0.7345801839934996,0.0002881889410039,9,103.81172648766564
simulated,0.23625,2,omega_3,ZV-OLS-5,0.7348997558871524,9.221061224827964e-06,55,443003.9919096336
simulated,0.23625,2,omega_3,ZV-Lasso-5,0.7350551247185116,0.000137621243602,21,21541.175648320048
simulated,0.239875,3,omega_1,MC,0.1049316029112479,0.0016635730021001,0,
simulated,0.239875,3,omega_1,ZV-OLS-1,0.1064439778573838,0.0005373646475197,3,8.592898087668033
simulated,0.239875,3,omega_1,ZV-OLS-2,0.1075754995418138,0.000278912625921,9,118.79114768343447
simulated,0.239875,3,omega_1,ZV-OLS-5,0.1081440128196659,6.856822536065255e-06,55,608759.7734769805
simulated,0.239875,3,omega_1,ZV-Lasso-5,0.1079532881290523,4.547060340026749e-05,27,149538.07388813348
simulated,0.239875,3,omega_2,MC,0.1585123771429435,0.0019691710084659,0,
simulated,0.239875,3,omega_2,ZV-OLS-1,0.1603688780274099,0.0005896642231516,3,8.592898087668033
simulated,0.239875,3,omega_2,ZV-OLS-2,0.1595488082398845,0.0002218891174704,9,118.79114768343447
simulated,0.239875,3,omega_2,ZV-OLS-5,0.1594715319057842,4.863743725365657e-06,55,608759.7734769805
simulated,0.239875,3,omega_2,ZV-Lasso-5,0.1594501689653227,2.1479208256558343e-05,22,14852.460312932562
simulated,0.239875,3,omega_3,MC,0.739719699688153,0.0023026216086505,0,
simulated,0.239875,3,omega_3,ZV-OLS-1,0.7363778213956055,0.0004890691714037,3,8.592898087668033
simulated,0.239875,3,omega_3,ZV-OLS-2,0.7354730715797876,0.0002298371455444,9,118.79114768343447
simulated,0.239875,3,omega_3,ZV-OLS-5,0.7348325360818241,6.906894474649246e-06,55,608759.7734769805
simulated,0.239875,3,omega_3,ZV-Lasso-5,0.7351382982648303,0.0001015194099756,19,30876.446555815663
simulated,0.227875,4,omega_1,MC,0.1081991197396452,0.0028093575496292,0,
simulated,0.227875,4,omega_1,ZV-OLS-1,0.1074680790094007,0.0009415985571312,3,7.95446305171933
simulated,0.227875,4,omega_1,ZV-OLS-2,0.1083238793165855,0.0003439304953337,9,107.19676927558451
simulated,0.227875,4,omega_1,ZV-OLS-5,0.1080268279907709,1.60287828548873e-05,55,769607.5302747593
simulated,0.227875,4,omega_1,ZV-Lasso-5,0.1081423352224927,7.472290041456139e-05,26,37837.53779397888
simulated,0.227875,4,omega_2,MC,0.1594016109901785,0.0019196219448759,0,
simulated,0.227875,4,omega_2,ZV-OLS-1,0.1604931214636101,0.001021109313328,3,7.95446305171933
simulated,0.227875,4,omega_2,ZV-OLS-2,0.1596195054392488,0.0002076807488972,9,107.19676927558451
simulated,0.227875,4,omega_2,ZV-OLS-5,0.1594789768760978,4.2218228354860986e-06,55,769607.5302747593
simulated,0.227875,4,omega_2,ZV-Lasso-5,0.1594927417906368,3.5385934673192726e-05,18,5213.49126631635
simulated,0.227875,4,omega_3,MC,0.7353785368321809,0.0037524489226934,0,
simulated,0.227875,4,omega_3,ZV-OLS-1,0.7351573642729973,0.0006368680351519,3,7.95446305171933
simulated,0.227875,4,omega_3,ZV-OLS-2,0.7346237416060928,0.0003438972620132,9,107.19676927558451
simulated,0.227875,4,omega_3,ZV-OLS-5,0.7349499777812416,1.5691117731609403e-05,55,769607.5302747593
simulated,0.227875,4,omega_3,ZV-Lasso-5,0.7350595570520282,0.0001128049408679,25,6162.019047698758
simulated,0.224,5,omega_1,MC,0.10802006161223,0.0018825511441974,0,
simulated,0.224,5,omega_1,ZV-OLS-1,0.1086383305443428,0.0005249094530399,3,8.185279305383421
simulated,0.224,5,omega_1,ZV-OLS-2,0.1081610071400986,0.0002083808377389,9,110.9897982302114
simulated,0.224,5,omega_1,ZV-OLS-5,0.1080544547924349,8.861291323799989e-06,55,492123.3667955021
simulated,0.224,5,omega_1,ZV-Lasso-5,0.1080022174392956,8.431745861395194e-05,26,17076.310288996843
simulated,0.224,5,omega_2,MC,0.1564044785630986,0.0022456258758882,0,
simulated,0.224,5,omega_2,ZV-OLS-1,0.159267615302637,0.0006719647290965,3,8.185279305383421
simulated,0.224,5,omega_2,ZV-OLS-2,0.1594982345417288,0.0001338432567496,9,110.9897982302114
simulated,0.224,5,omega_2,ZV-OLS-5,0.1594930744848958,2.385973689885695e-06,55,492123.3667955021
simulated,0.224,5,omega_2,ZV-Lasso-5,0.1594238620216518,3.1674015695118804e-05,18,4419.327851724645
simulated,0.224,5,omega_3,MC,0.7387732735411211,0.0027113554965682,0,
simulated,0.224,5,omega_3,ZV-OLS-1,0.7346181060452093,0.0005233887139208,3,8.185279305383421
simulated,0.224,5,omega_3,ZV-OLS-2,0.7348071625307375,0.0002202129810892,9,110.9897982302114
simulated,0.224,5,omega_3,ZV-OLS-5,0.7349212599168522,9.65249290604188e-06,55,492123.3667955021
simulated,0.224,5,omega_3,ZV-Lasso-5,0.7350444564964802,7.436569274941812e-05,20,9795.926413046314
simulated,0.231625,6,omega_1,MC,0.1089591710722642,0.0022604712203344,0,
simulated,0.231625,6,omega_1,ZV-OLS-1,0.1091587598252011,0.0005668600056175,3,8.037391476802906
simulated,0.231625,6,omega_1,ZV-OLS-2,0.1084957971510539,0.000375527137299,9,104.76978473913894
simulated,0.231625,6,omega_1,ZV-OLS-5,0.1081046975803487,5.9485333994299705e-06,55,548213.5152998593
simulated,0.231625,6,omega_1,ZV-Lasso-5,0.1082244932994937,4.492086524017244e-05,29,99478.41116666463
simulated,0.231625,6,omega_2,MC,0.1553941105075417,0.0019197267184475,0,
simulated,0.231625,6,omega_2,ZV-OLS-1,0.1582060142825689,0.0006661912881601,3,8.037391476802906
simulated,0.231625,6,omega_2,ZV-OLS-2,0.1592949684036554,0.0002325657827457,9,104.76978473913894
simulated,0.231625,6,omega_2,ZV-OLS-5,0.1594735264012719,3.1513425672284966e-06,55,548213.5152998593
simulated,0.231625,6,omega_2,ZV-Lasso-5,0.1594604349007445,2.3986826820804924e-05,19,9161.216143903464
simulated,0.231625,6,omega_3,MC,0.7365479578802147,0.0030332271142506,0,
simulated,0.231625,6,omega_3,ZV-OLS-1,0.7345473248266116,0.0006306873846112,3,8.037391476802906
simulated,0.231625,6,omega_3,ZV-OLS-2,0.7345793940263622,0.000351285938056,9,104.76978473913894
simulated,0.231625,6,omega_3,ZV-OLS-5,0.7348752584104263,6.27785782580879e-06,55,548213.5152998593
