dataset,parameter,method,empirical_variance,variance_reduction,mean_selected,median_condition
eurusd,omega_1,ZV-Lasso-5,3.775878349503856e-06,15.782792381868356,41.2,262188.10222853936
eurusd,omega_1,ZV-OLS-1,5.953230190281614e-05,1.001034768430348,3.0,8.518630146735124
eurusd,omega_1,ZV-OLS-5,4.612573029098051e-06,12.919883040001256,55.0,13979160.638025869
eurusd,omega_2,ZV-Lasso-5,5.799691973544522e-07,18.29303132831729,30.0,27677.25607541052
eurusd,omega_2,ZV-OLS-1,3.0043832037295115e-06,3.5313054218563007,3.0,8.518630146735124
eurusd,omega_2,ZV-OLS-5,1.582297578086873e-06,6.705056522611665,55.0,13979160.638025869
eurusd,omega_3,ZV-Lasso-5,0.00016365090279798933,10.803927614741971,40.6,225560.3983332913
eurusd,omega_3,ZV-OLS-1,0.001670861774715719,1.0581799970960921,3.0,8.518630146735124
eurusd,omega_3,ZV-OLS-5,0.00010838860495697481,16.312346751012186,55.0,13979160.638025869
simulated,omega_1,ZV-Lasso-5,1.4723759506473315e-08,475.1787396995298,27.0,35103.20960204413
simulated,omega_1,ZV-OLS-1,7.434865696000612e-07,9.41028092772207,3.0,8.197737175997087
simulated,omega_1,ZV-OLS-5,1.6431483632750661e-09,4257.934123477412,55.0,578486.6443884199
simulated,omega_2,ZV-Lasso-5,2.0648101491535495e-09,2501.4395118346533,19.2,5682.676115540732
simulated,omega_2,ZV-OLS-1,5.196744738816974e-07,9.93890974276657,3.0,8.197737175997087
simulated,omega_2,ZV-OLS-5,3.2860748468230384e-10,15717.833379612119,55.0,578486.6443884199
simulated,omega_3,ZV-Lasso-5,1.815442774937046e-08,838.8596933998687,22.1,19462.878230683797
simulated,omega_3,ZV-OLS-1,4.691036965331603e-07,32.46407523162729,3.0,8.197737175997087
simulated,omega_3,ZV-OLS-5,1.4557865358931937e-09,10461.023865935987,55.0,578486.6443884199
